round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.1041
0,server_eval_initial,serverapp,loss,2.302439363696907
0,server_eval_initial,serverapp,poisoned_accuracy,0.0025619128949615714
0,server_eval_initial,serverapp,poisoned_loss,2.293682487269531
0,server_eval_initial,serverapp,attack_success_rate,0.002827521206409048
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.938816418378242
1,eval_agg,clientapp,eval_loss,2.314574106267131
1,eval_agg,clientapp,eval_acc,0.10144927536231883
1,server_eval,serverapp,accuracy,0.1
1,server_eval,serverapp,loss,2.314031296138522
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.3617780214695725
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.8448675925151239
2,eval_agg,clientapp,eval_loss,2.1635129187830664
2,eval_agg,clientapp,eval_acc,0.1722138930534733
2,server_eval,serverapp,accuracy,0.1724
2,server_eval,serverapp,loss,2.163405348982992
2,server_eval,serverapp,poisoned_accuracy,0.29803586678052946
2,server_eval,serverapp,poisoned_loss,2.416862198880959
2,server_eval,serverapp,attack_success_rate,0.2544769085768143
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.6806710729124368
3,eval_agg,clientapp,eval_loss,1.9426646639456757
3,eval_agg,clientapp,eval_acc,0.17651174412793602
3,server_eval,serverapp,accuracy,0.1743
3,server_eval,serverapp,loss,1.9422692332086684
3,server_eval,serverapp,poisoned_accuracy,0.4201537147736977
3,server_eval,serverapp,poisoned_loss,2.6093849389599897
3,server_eval,serverapp,attack_success_rate,0.37794533459000945
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.5911797870343327
4,eval_agg,clientapp,eval_loss,1.9268827357276406
4,eval_agg,clientapp,eval_acc,0.1905047476261869
4,server_eval,serverapp,accuracy,0.1962
4,server_eval,serverapp,loss,1.9250251326379897
4,server_eval,serverapp,poisoned_accuracy,0.0
4,server_eval,serverapp,poisoned_loss,3.113619922064595
4,server_eval,serverapp,attack_success_rate,0.0
4,server_eval,serverapp,poisoned_examples,1171
