round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.0984
0,server_eval_initial,serverapp,loss,2.302678090107592
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.2974655151774392
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.893162910724482
1,eval_agg,clientapp,eval_loss,2.308416770221357
1,eval_agg,clientapp,eval_acc,0.10004997501249376
1,server_eval,serverapp,accuracy,0.1
1,server_eval,serverapp,loss,2.308014957210686
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.200008977080491
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.7879644019329406
2,eval_agg,clientapp,eval_loss,1.9982612286709143
2,eval_agg,clientapp,eval_acc,0.24847576211894054
2,server_eval,serverapp,accuracy,0.2488
2,server_eval,serverapp,loss,1.993905532209179
2,server_eval,serverapp,poisoned_accuracy,0.16737830913748933
2,server_eval,serverapp,poisoned_loss,2.307185413692875
2,server_eval,serverapp,attack_success_rate,0.13383600377002827
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.5556150995308473
3,eval_agg,clientapp,eval_loss,1.821008179883428
3,eval_agg,clientapp,eval_acc,0.27336331834082955
3,server_eval,serverapp,accuracy,0.2726
3,server_eval,serverapp,loss,1.820139562027364
3,server_eval,serverapp,poisoned_accuracy,0.0
3,server_eval,serverapp,poisoned_loss,3.426384012074067
3,server_eval,serverapp,attack_success_rate,0.0
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.456780385898489
4,eval_agg,clientapp,eval_loss,1.7326025613916982
4,eval_agg,clientapp,eval_acc,0.29845077461269365
4,server_eval,serverapp,accuracy,0.296
4,server_eval,serverapp,loss,1.7315794018250477
4,server_eval,serverapp,poisoned_accuracy,0.16737830913748933
4,server_eval,serverapp,poisoned_loss,2.877513847424371
4,server_eval,serverapp,attack_success_rate,0.11592836946277098
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.4016379174733575
5,eval_agg,clientapp,eval_loss,1.6152715134919933
5,eval_agg,clientapp,eval_acc,0.3468265867066467
5,server_eval,serverapp,accuracy,0.3499
5,server_eval,serverapp,loss,1.6164125852946993
5,server_eval,serverapp,poisoned_accuracy,0.12211784799316823
5,server_eval,serverapp,poisoned_loss,2.8437158800820628
5,server_eval,serverapp,attack_success_rate,0.07445805843543826
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.2866713689362923
6,eval_agg,clientapp,eval_loss,1.4700827227767423
6,eval_agg,clientapp,eval_acc,0.4261869065467266
6,server_eval,serverapp,accuracy,0.423
6,server_eval,serverapp,loss,1.4768777285950094
6,server_eval,serverapp,poisoned_accuracy,0.04696840307429547
6,server_eval,serverapp,poisoned_loss,3.306638535834295
6,server_eval,serverapp,attack_success_rate,0.02544769085768143
6,server_eval,serverapp,poisoned_examples,1171
7,train_agg,clientapp,train_loss,1.2049304791510416
7,eval_agg,clientapp,eval_loss,1.3872902431643142
7,eval_agg,clientapp,eval_acc,0.45377311344327836
7,server_eval,serverapp,accuracy,0.4537
7,server_eval,serverapp,loss,1.4008757841737964
7,server_eval,serverapp,poisoned_accuracy,0.107600341588386
7,server_eval,serverapp,poisoned_loss,3.0472453279845437
7,server_eval,serverapp,attack_success_rate,0.058435438265786996
7,server_eval,serverapp,poisoned_examples,1171
8,train_agg,clientapp,train_loss,1.0633925905790382
8,eval_agg,clientapp,eval_loss,1.3009606343751439
8,eval_agg,clientapp,eval_acc,0.510944527736132
8,server_eval,serverapp,accuracy,0.5117
8,server_eval,serverapp,loss,1.319861261150505
8,server_eval,serverapp,poisoned_accuracy,0.05807002561912895
8,server_eval,serverapp,poisoned_loss,3.87958397751278
8,server_eval,serverapp,attack_success_rate,0.019792648444863337
8,server_eval,serverapp,poisoned_examples,1171
9,train_agg,clientapp,train_loss,1.0668400514414538
9,eval_agg,clientapp,eval_loss,1.2192977709600592
9,eval_agg,clientapp,eval_acc,0.5574212893553223
9,server_eval,serverapp,accuracy,0.5535
9,server_eval,serverapp,loss,1.2407343410238434
9,server_eval,serverapp,poisoned_accuracy,0.0990606319385141
9,server_eval,serverapp,poisoned_loss,3.448622588516809
