round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.0987
0,server_eval_initial,serverapp,loss,2.3033124495156203
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.3112252257401673
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.8985488450020642
1,train_agg,clientapp,nonfinite_updates_filtered,0
1,train_agg,clientapp,flanders_filtered,0
1,train_agg,clientapp,flanders_kept,6
1,train_agg,clientapp,flanders_mean_score,0.0
1,eval_agg,clientapp,eval_loss,2.3141269460936376
1,eval_agg,clientapp,eval_acc,0.10004997501249376
1,server_eval,serverapp,accuracy,0.1
1,server_eval,serverapp,loss,2.313444080232065
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.236113085490226
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.936122755324
2,train_agg,clientapp,nonfinite_updates_filtered,0
2,train_agg,clientapp,flanders_filtered,2
2,train_agg,clientapp,flanders_kept,4
2,train_agg,clientapp,flanders_mean_score,7.689732342441857e-06
2,eval_agg,clientapp,eval_loss,2.2186150879311075
2,eval_agg,clientapp,eval_acc,0.18590704647676162
2,server_eval,serverapp,accuracy,0.1891
2,server_eval,serverapp,loss,2.2166736518280414
2,server_eval,serverapp,poisoned_accuracy,0.36464560204953034
2,server_eval,serverapp,poisoned_loss,2.5084733124170215
2,server_eval,serverapp,attack_success_rate,0.3176248821866164
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.7231613662289833
3,train_agg,clientapp,nonfinite_updates_filtered,0
3,train_agg,clientapp,flanders_filtered,2
3,train_agg,clientapp,flanders_kept,4
3,train_agg,clientapp,flanders_mean_score,1.0682129966032296e-05
3,eval_agg,clientapp,eval_loss,1.965664797946896
3,eval_agg,clientapp,eval_acc,0.1907046476761619
3,server_eval,serverapp,accuracy,0.1878
3,server_eval,serverapp,loss,1.9635902809191355
3,server_eval,serverapp,poisoned_accuracy,0.07856532877882152
3,server_eval,serverapp,poisoned_loss,2.280966571413687
3,server_eval,serverapp,attack_success_rate,0.0763430725730443
3,server_eval,serverapp,poisoned_examples,1171
