round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.0952
0,server_eval_initial,serverapp,loss,2.302613222146336
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.3156813398372607
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9208092131338603
1,train_agg,clientapp,nonfinite_updates_filtered,0
1,train_agg,clientapp,foolsgold_mean_weight,0.1666666666666667
1,train_agg,clientapp,foolsgold_weight_std,0.21012009450670402
1,train_agg,clientapp,foolsgold_weight_min,0.06318741883129363
1,train_agg,clientapp,foolsgold_weight_max,0.6362300445677451
1,train_agg,clientapp,foolsgold_robust,0
1,train_agg,clientapp,foolsgold_weight_entropy,1.2388263515961018
1,eval_agg,clientapp,eval_loss,2.30860543916524
1,eval_agg,clientapp,eval_acc,0.16121939030484758
1,server_eval,serverapp,accuracy,0.1634
1,server_eval,serverapp,loss,2.2999758358243145
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.5735306300025633
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.750086173601413
2,train_agg,clientapp,nonfinite_updates_filtered,0
2,train_agg,clientapp,foolsgold_mean_weight,0.16666666666666666
2,train_agg,clientapp,foolsgold_weight_std,0.20566827838519386
2,train_agg,clientapp,foolsgold_weight_min,0.06936128585143275
2,train_agg,clientapp,foolsgold_weight_max,0.6264316737780715
2,train_agg,clientapp,foolsgold_robust,0
2,train_agg,clientapp,foolsgold_weight_entropy,1.2611619054121863
2,eval_agg,clientapp,eval_loss,1.9781247060355038
2,eval_agg,clientapp,eval_acc,0.2369815092453773
2,server_eval,serverapp,accuracy,0.2298
2,server_eval,serverapp,loss,1.9813476378404642
2,server_eval,serverapp,poisoned_accuracy,0.0
2,server_eval,serverapp,poisoned_loss,3.519908386046412
2,server_eval,serverapp,attack_success_rate,0.0
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.5694052351912955
3,train_agg,clientapp,nonfinite_updates_filtered,0
3,train_agg,clientapp,foolsgold_mean_weight,0.16666666666666666
3,train_agg,clientapp,foolsgold_weight_std,0.1835118549110037
3,train_agg,clientapp,foolsgold_weight_min,0.06012391291776577
3,train_agg,clientapp,foolsgold_weight_max,0.5683448714087311
3,train_agg,clientapp,foolsgold_robust,0
3,train_agg,clientapp,foolsgold_weight_entropy,1.3368902899893138
3,eval_agg,clientapp,eval_loss,1.83856644568064
3,eval_agg,clientapp,eval_acc,0.2737631184407796
3,server_eval,serverapp,accuracy,0.2703
3,server_eval,serverapp,loss,1.8434112524684472
3,server_eval,serverapp,poisoned_accuracy,0.0
3,server_eval,serverapp,poisoned_loss,4.02494722793084
3,server_eval,serverapp,attack_success_rate,0.0
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.4901874115029097
4,train_agg,clientapp,nonfinite_updates_filtered,0
4,train_agg,clientapp,foolsgold_mean_weight,0.1666666666666667
4,train_agg,clientapp,foolsgold_weight_std,0.22753706993618034
4,train_agg,clientapp,foolsgold_weight_min,0.04615403698490956
4,train_agg,clientapp,foolsgold_weight_max,0.6698923771847967
4,train_agg,clientapp,foolsgold_robust,0
4,train_agg,clientapp,foolsgold_weight_entropy,1.1232540711409367
4,eval_agg,clientapp,eval_loss,1.8155939502119205
4,eval_agg,clientapp,eval_acc,0.29845077461269365
4,server_eval,serverapp,accuracy,0.2957
4,server_eval,serverapp,loss,1.814643932294242
4,server_eval,serverapp,poisoned_accuracy,0.0
4,server_eval,serverapp,poisoned_loss,4.560178995132446
4,server_eval,serverapp,attack_success_rate,0.0
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.3956395684441385
5,train_agg,clientapp,nonfinite_updates_filtered,0
5,train_agg,clientapp,foolsgold_mean_weight,0.16666666666666666
5,train_agg,clientapp,foolsgold_weight_std,0.2100255580936507
5,train_agg,clientapp,foolsgold_weight_min,0.03257392936035748
5,train_agg,clientapp,foolsgold_weight_max,0.6243502347183386
5,train_agg,clientapp,foolsgold_robust,0
5,train_agg,clientapp,foolsgold_weight_entropy,1.1860977314972065
