round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.1004
0,server_eval_initial,serverapp,loss,2.3024050495292565
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.318423002016636
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9285407945890418
1,eval_agg,clientapp,eval_loss,2.2953232357989473
1,eval_agg,clientapp,eval_acc,0.10144927536231883
1,server_eval,serverapp,accuracy,0.1
1,server_eval,serverapp,loss,2.2949868727333937
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.3071466976511084
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.8330240388475347
2,eval_agg,clientapp,eval_loss,2.250893596575696
2,eval_agg,clientapp,eval_acc,0.13503248375812094
2,server_eval,serverapp,accuracy,0.1359
2,server_eval,serverapp,loss,2.2482921594305885
2,server_eval,serverapp,poisoned_accuracy,0.0
2,server_eval,serverapp,poisoned_loss,2.564200284438292
2,server_eval,serverapp,attack_success_rate,0.0
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.675582923890201
3,eval_agg,clientapp,eval_loss,1.9431605125218492
3,eval_agg,clientapp,eval_acc,0.22478760619690155
3,server_eval,serverapp,accuracy,0.2181
3,server_eval,serverapp,loss,1.9476178627979905
3,server_eval,serverapp,poisoned_accuracy,0.0
3,server_eval,serverapp,poisoned_loss,2.887206753128925
3,server_eval,serverapp,attack_success_rate,0.0
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.5507894580118937
4,eval_agg,clientapp,eval_loss,1.7724122888321612
4,eval_agg,clientapp,eval_acc,0.27256371814092956
4,server_eval,serverapp,accuracy,0.2778
4,server_eval,serverapp,loss,1.7743449950519996
4,server_eval,serverapp,poisoned_accuracy,0.15798462852263023
4,server_eval,serverapp,poisoned_loss,2.862696636038698
4,server_eval,serverapp,attack_success_rate,0.10744580584354382
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.4615843755178142
5,eval_agg,clientapp,eval_loss,1.6882554135022456
5,eval_agg,clientapp,eval_acc,0.3106446776611694
5,server_eval,serverapp,accuracy,0.3157
5,server_eval,serverapp,loss,1.6822630846047704
5,server_eval,serverapp,poisoned_accuracy,0.06063193851409052
5,server_eval,serverapp,poisoned_loss,3.1592586502674602
5,server_eval,serverapp,attack_success_rate,0.043355325164938736
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.3760239433910522
6,eval_agg,clientapp,eval_loss,1.642532865007299
6,eval_agg,clientapp,eval_acc,0.3462268865567216
6,server_eval,serverapp,accuracy,0.3532
