round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.0968
0,server_eval_initial,serverapp,loss,2.3029555127590515
0,server_eval_initial,serverapp,poisoned_accuracy,0.6652433817250214
0,server_eval_initial,serverapp,poisoned_loss,2.283137240234753
0,server_eval_initial,serverapp,attack_success_rate,0.6823751178133836
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9082389800347677
1,train_agg,clientapp,nonfinite_updates_filtered,0
1,train_agg,clientapp,foolsgold_mean_weight,0.16666666666666666
1,train_agg,clientapp,foolsgold_weight_std,0.18400138133577215
1,train_agg,clientapp,foolsgold_weight_min,0.050819346680946266
1,train_agg,clientapp,foolsgold_weight_max,0.5734160482091207
1,train_agg,clientapp,foolsgold_robust,0
1,train_agg,clientapp,foolsgold_weight_entropy,1.3410961223055446
1,eval_agg,clientapp,eval_loss,2.3526854058420277
1,eval_agg,clientapp,eval_acc,0.09665167416291855
1,server_eval,serverapp,accuracy,0.1
1,server_eval,serverapp,loss,2.3512591651723356
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.4730103706112283
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.890332958082082
2,train_agg,clientapp,nonfinite_updates_filtered,0
2,train_agg,clientapp,foolsgold_mean_weight,0.16666666666666666
2,train_agg,clientapp,foolsgold_weight_std,0.2025104867775267
2,train_agg,clientapp,foolsgold_weight_min,0.03803373243471686
2,train_agg,clientapp,foolsgold_weight_max,0.6148029724099626
2,train_agg,clientapp,foolsgold_robust,0
2,train_agg,clientapp,foolsgold_weight_entropy,1.2502883980828938
2,eval_agg,clientapp,eval_loss,2.3188678700070358
2,eval_agg,clientapp,eval_acc,0.10134932533733133
2,server_eval,serverapp,accuracy,0.104
2,server_eval,serverapp,loss,2.3186464671847187
2,server_eval,serverapp,poisoned_accuracy,0.0
2,server_eval,serverapp,poisoned_loss,2.570900584977473
2,server_eval,serverapp,attack_success_rate,0.0
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.7404273643413757
3,train_agg,clientapp,nonfinite_updates_filtered,0
3,train_agg,clientapp,foolsgold_mean_weight,0.16666666666666666
3,train_agg,clientapp,foolsgold_weight_std,0.1966944019895969
3,train_agg,clientapp,foolsgold_weight_min,0.0619129632992651
3,train_agg,clientapp,foolsgold_weight_max,0.6053937814281488
3,train_agg,clientapp,foolsgold_robust,0
3,train_agg,clientapp,foolsgold_weight_entropy,1.2985294242137504
3,eval_agg,clientapp,eval_loss,2.17961202152661
3,eval_agg,clientapp,eval_acc,0.15302348825587206
3,server_eval,serverapp,accuracy,0.1518
3,server_eval,serverapp,loss,2.1737458766261235
3,server_eval,serverapp,poisoned_accuracy,0.0
3,server_eval,serverapp,poisoned_loss,2.8260448685474215
3,server_eval,serverapp,attack_success_rate,0.0
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.6817608764655825
4,train_agg,clientapp,nonfinite_updates_filtered,0
4,train_agg,clientapp,foolsgold_mean_weight,0.1666666666666667
4,train_agg,clientapp,foolsgold_weight_std,0.27329506382983715
4,train_agg,clientapp,foolsgold_weight_min,0.02355904594113858
4,train_agg,clientapp,foolsgold_weight_max,0.7767590484789262
4,train_agg,clientapp,foolsgold_robust,0
4,train_agg,clientapp,foolsgold_weight_entropy,0.8721511577073331
4,eval_agg,clientapp,eval_loss,2.0234893068169892
4,eval_agg,clientapp,eval_acc,0.22158920539730137
4,server_eval,serverapp,accuracy,0.2254
4,server_eval,serverapp,loss,2.0143600868273386
4,server_eval,serverapp,poisoned_accuracy,0.0
4,server_eval,serverapp,poisoned_loss,3.472395921547529
4,server_eval,serverapp,attack_success_rate,0.0
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.602837054624962
5,train_agg,clientapp,nonfinite_updates_filtered,0
5,train_agg,clientapp,foolsgold_mean_weight,0.16666666666666666
5,train_agg,clientapp,foolsgold_weight_std,0.24814353048348256
5,train_agg,clientapp,foolsgold_weight_min,0.04159660723551396
5,train_agg,clientapp,foolsgold_weight_max,0.720537115878801
5,train_agg,clientapp,foolsgold_robust,0
5,train_agg,clientapp,foolsgold_weight_entropy,1.0311175074817027
5,eval_agg,clientapp,eval_loss,1.9967842695231832
5,eval_agg,clientapp,eval_acc,0.2621689155422289
5,server_eval,serverapp,accuracy,0.2657
5,server_eval,serverapp,loss,1.9822261921967133
5,server_eval,serverapp,poisoned_accuracy,0.0
5,server_eval,serverapp,poisoned_loss,2.6697296992415143
