round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.1036
0,server_eval_initial,serverapp,loss,2.3027040988584107
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.291684108753677
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9184573486439058
1,eval_agg,clientapp,eval_loss,2.3073413519249635
1,eval_agg,clientapp,eval_acc,0.10144927536231885
1,server_eval,serverapp,accuracy,0.1
1,server_eval,serverapp,loss,2.3091691294802894
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.2772556784619233
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.874916469760093
2,eval_agg,clientapp,eval_loss,2.1759087251199793
2,eval_agg,clientapp,eval_acc,0.20229885057471267
2,server_eval,serverapp,accuracy,0.2049
2,server_eval,serverapp,loss,2.173726407787468
2,server_eval,serverapp,poisoned_accuracy,0.34585824081981215
2,server_eval,serverapp,poisoned_loss,2.0720348330667955
2,server_eval,serverapp,attack_success_rate,0.294062205466541
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.6444992859095253
3,eval_agg,clientapp,eval_loss,1.9859626678526359
3,eval_agg,clientapp,eval_acc,0.21769115442278858
3,server_eval,serverapp,accuracy,0.2102
3,server_eval,serverapp,loss,1.9869003416616706
3,server_eval,serverapp,poisoned_accuracy,0.02134927412467976
3,server_eval,serverapp,poisoned_loss,3.021838356754293
3,server_eval,serverapp,attack_success_rate,0.020735155513666354
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.567074084465762
4,eval_agg,clientapp,eval_loss,1.7988276458411407
4,eval_agg,clientapp,eval_acc,0.247776111944028
4,server_eval,serverapp,accuracy,0.2443
4,server_eval,serverapp,loss,1.805132429811019
4,server_eval,serverapp,poisoned_accuracy,0.19128949615713065
4,server_eval,serverapp,poisoned_loss,2.8528434629627624
4,server_eval,serverapp,attack_success_rate,0.1413760603204524
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.465735311471683
5,eval_agg,clientapp,eval_loss,1.7200612477246848
5,eval_agg,clientapp,eval_acc,0.3085457271364318
5,server_eval,serverapp,accuracy,0.3059
5,server_eval,serverapp,loss,1.7166165973566756
5,server_eval,serverapp,poisoned_accuracy,0.09222886421861656
5,server_eval,serverapp,poisoned_loss,2.7754826932560164
5,server_eval,serverapp,attack_success_rate,0.06503298774740811
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.3874176474098445
6,eval_agg,clientapp,eval_loss,1.63151395969823
6,eval_agg,clientapp,eval_acc,0.33763118440779605
6,server_eval,serverapp,accuracy,0.3384
6,server_eval,serverapp,loss,1.630126637748525
6,server_eval,serverapp,poisoned_accuracy,0.036720751494449186
6,server_eval,serverapp,poisoned_loss,3.41595081322016
6,server_eval,serverapp,attack_success_rate,0.021677662582469368
6,server_eval,serverapp,poisoned_examples,1171
7,train_agg,clientapp,train_loss,1.3205154842863456
7,eval_agg,clientapp,eval_loss,1.5624354000150327
7,eval_agg,clientapp,eval_acc,0.37701149425287356
7,server_eval,serverapp,accuracy,0.379
7,server_eval,serverapp,loss,1.5585937183114547
7,server_eval,serverapp,poisoned_accuracy,0.07258753202391119
7,server_eval,serverapp,poisoned_loss,3.4581331862637774
7,server_eval,serverapp,attack_success_rate,0.03958529688972667
7,server_eval,serverapp,poisoned_examples,1171
8,train_agg,clientapp,train_loss,1.2832391347971162
8,eval_agg,clientapp,eval_loss,1.532270612347714
8,eval_agg,clientapp,eval_acc,0.38220889555222387
8,server_eval,serverapp,accuracy,0.3871
8,server_eval,serverapp,loss,1.5315209340445604
8,server_eval,serverapp,poisoned_accuracy,0.11101622544833475
8,server_eval,serverapp,poisoned_loss,2.7814964372616973
8,server_eval,serverapp,attack_success_rate,0.0640904806786051
8,server_eval,serverapp,poisoned_examples,1171
9,train_agg,clientapp,train_loss,1.2455985087543011
9,eval_agg,clientapp,eval_loss,1.5207607305004138
9,eval_agg,clientapp,eval_acc,0.40389805097451276
9,server_eval,serverapp,accuracy,0.4023
9,server_eval,serverapp,loss,1.5155919609190542
9,server_eval,serverapp,poisoned_accuracy,0.033304867634500426
9,server_eval,serverapp,poisoned_loss,3.2786644567901715
9,server_eval,serverapp,attack_success_rate,0.016965127238454288
9,server_eval,serverapp,poisoned_examples,1171
10,train_agg,clientapp,train_loss,1.2175974184048566
10,eval_agg,clientapp,eval_loss,1.3842995934884244
10,eval_agg,clientapp,eval_acc,0.4676661669165417
10,server_eval,serverapp,accuracy,0.4616
10,server_eval,serverapp,loss,1.3871884059302415
10,server_eval,serverapp,poisoned_accuracy,0.11357813834329633
10,server_eval,serverapp,poisoned_loss,3.0151335297233524
10,server_eval,serverapp,attack_success_rate,0.05655042412818096
10,server_eval,serverapp,poisoned_examples,1171
11,train_agg,clientapp,train_loss,1.1148171119317851
11,eval_agg,clientapp,eval_loss,1.24489532876133
11,eval_agg,clientapp,eval_acc,0.5239380309845078
11,server_eval,serverapp,accuracy,0.5238
11,server_eval,serverapp,loss,1.2490088788768914
11,server_eval,serverapp,poisoned_accuracy,0.07344150298889837
11,server_eval,serverapp,poisoned_loss,3.174756881826256
11,server_eval,serverapp,attack_success_rate,0.033930254476908575
11,server_eval,serverapp,poisoned_examples,1171
12,train_agg,clientapp,train_loss,1.0601180177868688
12,eval_agg,clientapp,eval_loss,1.2092437739875415
12,eval_agg,clientapp,eval_acc,0.5409295352323837
12,server_eval,serverapp,accuracy,0.535
12,server_eval,serverapp,loss,1.2169294478018073
12,server_eval,serverapp,poisoned_accuracy,0.06831767719897523
12,server_eval,serverapp,poisoned_loss,3.4927203675603176
12,server_eval,serverapp,attack_success_rate,0.022620169651272386
12,server_eval,serverapp,poisoned_examples,1171
13,train_agg,clientapp,train_loss,1.0026825885421786
13,eval_agg,clientapp,eval_loss,1.096944493991466
13,eval_agg,clientapp,eval_acc,0.6115942028985507
13,server_eval,serverapp,accuracy,0.6039
13,server_eval,serverapp,loss,1.1065611167799068
13,server_eval,serverapp,poisoned_accuracy,0.0888129803586678
13,server_eval,serverapp,poisoned_loss,3.650170127516827
13,server_eval,serverapp,attack_success_rate,0.036757775683317624
13,server_eval,serverapp,poisoned_examples,1171
14,train_agg,clientapp,train_loss,0.9526187171824709
14,eval_agg,clientapp,eval_loss,1.0453513954436588
14,eval_agg,clientapp,eval_acc,0.6196901549225388
14,server_eval,serverapp,accuracy,0.6213
14,server_eval,serverapp,loss,1.0564438081994842
14,server_eval,serverapp,poisoned_accuracy,0.07685738684884715
14,server_eval,serverapp,poisoned_loss,3.9027892325700195
14,server_eval,serverapp,attack_success_rate,0.021677662582469368
14,server_eval,serverapp,poisoned_examples,1171
15,train_agg,clientapp,train_loss,0.8874666753619366
15,eval_agg,clientapp,eval_loss,0.9884592549224687
15,eval_agg,clientapp,eval_acc,0.6433783108445776
15,server_eval,serverapp,accuracy,0.6497
15,server_eval,serverapp,loss,1.0073060566865946
15,server_eval,serverapp,poisoned_accuracy,0.06490179333902647
15,server_eval,serverapp,poisoned_loss,4.366522216471111
15,server_eval,serverapp,attack_success_rate,0.01413760603204524
15,server_eval,serverapp,poisoned_examples,1171
16,train_agg,clientapp,train_loss,0.8593857166405856
16,eval_agg,clientapp,eval_loss,0.9746285696178689
16,eval_agg,clientapp,eval_acc,0.657071464267866
16,server_eval,serverapp,accuracy,0.6614
16,server_eval,serverapp,loss,0.9915992406350148
16,server_eval,serverapp,poisoned_accuracy,0.06660973526900085
16,server_eval,serverapp,poisoned_loss,4.638355449974588
16,server_eval,serverapp,attack_success_rate,0.013195098963242224
16,server_eval,serverapp,poisoned_examples,1171
17,train_agg,clientapp,train_loss,0.7699989950932689
17,eval_agg,clientapp,eval_loss,0.9288733868979224
17,eval_agg,clientapp,eval_acc,0.664167916041979
17,server_eval,serverapp,accuracy,0.6647
17,server_eval,serverapp,loss,0.951140898692457
17,server_eval,serverapp,poisoned_accuracy,0.09393680614859094
17,server_eval,serverapp,poisoned_loss,4.499998248000108
17,server_eval,serverapp,attack_success_rate,0.030160226201696512
17,server_eval,serverapp,poisoned_examples,1171
18,train_agg,clientapp,train_loss,0.7432200663620189
18,eval_agg,clientapp,eval_loss,0.9182063849316239
18,eval_agg,clientapp,eval_acc,0.67816091954023
18,server_eval,serverapp,accuracy,0.681
18,server_eval,serverapp,loss,0.9368838962120346
18,server_eval,serverapp,poisoned_accuracy,0.07173356105892399
18,server_eval,serverapp,poisoned_loss,5.103318013257191
18,server_eval,serverapp,attack_success_rate,0.013195098963242224
18,server_eval,serverapp,poisoned_examples,1171
19,train_agg,clientapp,train_loss,0.7133019458480278
19,eval_agg,clientapp,eval_loss,0.8910044123202756
19,eval_agg,clientapp,eval_acc,0.6970514742628684
19,server_eval,serverapp,accuracy,0.6952
19,server_eval,serverapp,loss,0.8991866375826583
19,server_eval,serverapp,poisoned_accuracy,0.11101622544833475
19,server_eval,serverapp,poisoned_loss,4.43117811189158
19,server_eval,serverapp,attack_success_rate,0.04241281809613572
19,server_eval,serverapp,poisoned_examples,1171
20,train_agg,clientapp,train_loss,0.6613777375382732
20,eval_agg,clientapp,eval_loss,0.8667472962486009
20,eval_agg,clientapp,eval_acc,0.7042478760619688
20,server_eval,serverapp,accuracy,0.7075
20,server_eval,serverapp,loss,0.8801163653784161
20,server_eval,serverapp,poisoned_accuracy,0.11016225448334757
20,server_eval,serverapp,poisoned_loss,4.885687716082566
20,server_eval,serverapp,attack_success_rate,0.04241281809613572
