round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.1007
0,server_eval_initial,serverapp,loss,2.3022802298582055
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.3028359421291076
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9675763313777337
1,eval_agg,clientapp,eval_loss,2.228797952055751
1,eval_agg,clientapp,eval_acc,0.1792103948025987
1,server_eval,serverapp,accuracy,0.1791
1,server_eval,serverapp,loss,2.22863736635522
1,server_eval,serverapp,poisoned_accuracy,0.4748078565328779
1,server_eval,serverapp,poisoned_loss,2.018905308896105
1,server_eval,serverapp,attack_success_rate,0.44015080113100846
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.7955030391353977
2,eval_agg,clientapp,eval_loss,1.9916965370969748
2,eval_agg,clientapp,eval_acc,0.1778110944527736
2,server_eval,serverapp,accuracy,0.176
2,server_eval,serverapp,loss,1.9916357435757601
2,server_eval,serverapp,poisoned_accuracy,0.38941076003415886
2,server_eval,serverapp,poisoned_loss,2.498635423173261
2,server_eval,serverapp,attack_success_rate,0.3468426013195099
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.6315385397365119
3,eval_agg,clientapp,eval_loss,1.9117214747239042
3,eval_agg,clientapp,eval_acc,0.23388305847076463
3,server_eval,serverapp,accuracy,0.2318
3,server_eval,serverapp,loss,1.9186024741281438
3,server_eval,serverapp,poisoned_accuracy,0.010247651579846286
3,server_eval,serverapp,poisoned_loss,2.9129500285261822
3,server_eval,serverapp,attack_success_rate,0.006597549481621112
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.455557740082249
4,eval_agg,clientapp,eval_loss,1.7152136076050721
4,eval_agg,clientapp,eval_acc,0.29925037481259376
4,server_eval,serverapp,accuracy,0.298
4,server_eval,serverapp,loss,1.7075576661508294
4,server_eval,serverapp,poisoned_accuracy,0.1596925704526046
4,server_eval,serverapp,poisoned_loss,2.6555688298736038
4,server_eval,serverapp,attack_success_rate,0.11215834118755891
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.4038294286200916
5,eval_agg,clientapp,eval_loss,1.754105923628879
5,eval_agg,clientapp,eval_acc,0.3472263868065967
5,server_eval,serverapp,accuracy,0.3444
5,server_eval,serverapp,loss,1.7712543885919112
5,server_eval,serverapp,poisoned_accuracy,0.009393680614859094
5,server_eval,serverapp,poisoned_loss,2.510304750895317
5,server_eval,serverapp,attack_success_rate,0.006597549481621112
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.2825666356438505
6,eval_agg,clientapp,eval_loss,1.5138631153034805
6,eval_agg,clientapp,eval_acc,0.3766116941529235
6,server_eval,serverapp,accuracy,0.3781
6,server_eval,serverapp,loss,1.5262766367272487
6,server_eval,serverapp,poisoned_accuracy,0.04782237403928266
6,server_eval,serverapp,poisoned_loss,3.4411573809095164
6,server_eval,serverapp,attack_success_rate,0.020735155513666354
6,server_eval,serverapp,poisoned_examples,1171
7,train_agg,clientapp,train_loss,1.2668995220286363
7,eval_agg,clientapp,eval_loss,1.6357854156522271
7,eval_agg,clientapp,eval_acc,0.3770114942528736
7,server_eval,serverapp,accuracy,0.3831
7,server_eval,serverapp,loss,1.629752222495743
7,server_eval,serverapp,poisoned_accuracy,0.0
7,server_eval,serverapp,poisoned_loss,2.537674457776455
7,server_eval,serverapp,attack_success_rate,0.0
7,server_eval,serverapp,poisoned_examples,1171
8,train_agg,clientapp,train_loss,1.1715788629575543
8,eval_agg,clientapp,eval_loss,1.263894273146564
8,eval_agg,clientapp,eval_acc,0.5330334832583707
8,server_eval,serverapp,accuracy,0.5306
8,server_eval,serverapp,loss,1.269128810001325
8,server_eval,serverapp,poisoned_accuracy,0.0631938514090521
8,server_eval,serverapp,poisoned_loss,3.597085003767331
8,server_eval,serverapp,attack_success_rate,0.022620169651272386
8,server_eval,serverapp,poisoned_examples,1171
9,train_agg,clientapp,train_loss,1.0383992412317542
9,eval_agg,clientapp,eval_loss,1.2889497490203066
9,eval_agg,clientapp,eval_acc,0.5297351324337831
9,server_eval,serverapp,accuracy,0.5232
9,server_eval,serverapp,loss,1.3034508892252474
9,server_eval,serverapp,poisoned_accuracy,0.09564474807856532
9,server_eval,serverapp,poisoned_loss,2.9696470506164787
9,server_eval,serverapp,attack_success_rate,0.03958529688972667
9,server_eval,serverapp,poisoned_examples,1171
10,train_agg,clientapp,train_loss,0.9762107933453383
10,eval_agg,clientapp,eval_loss,1.3438678692919315
10,eval_agg,clientapp,eval_acc,0.5305347326336832
10,server_eval,serverapp,accuracy,0.5299
10,server_eval,serverapp,loss,1.3475449915173687
10,server_eval,serverapp,poisoned_accuracy,0.05807002561912895
10,server_eval,serverapp,poisoned_loss,3.016352396149802
10,server_eval,serverapp,attack_success_rate,0.017907634307257305
10,server_eval,serverapp,poisoned_examples,1171
11,train_agg,clientapp,train_loss,0.9309957069003345
11,eval_agg,clientapp,eval_loss,1.0454592677302472
11,eval_agg,clientapp,eval_acc,0.6352823588205897
11,server_eval,serverapp,accuracy,0.6338
11,server_eval,serverapp,loss,1.0642619381977032
11,server_eval,serverapp,poisoned_accuracy,0.09222886421861656
11,server_eval,serverapp,poisoned_loss,3.4978524903575137
11,server_eval,serverapp,attack_success_rate,0.033930254476908575
11,server_eval,serverapp,poisoned_examples,1171
12,train_agg,clientapp,train_loss,0.8549061157229112
12,eval_agg,clientapp,eval_loss,1.0969159601584875
12,eval_agg,clientapp,eval_acc,0.6254872563718141
12,server_eval,serverapp,accuracy,0.6195
12,server_eval,serverapp,loss,1.1130747991272165
12,server_eval,serverapp,poisoned_accuracy,0.06917164816396243
12,server_eval,serverapp,poisoned_loss,3.9662904605002205
12,server_eval,serverapp,attack_success_rate,0.022620169651272386
12,server_eval,serverapp,poisoned_examples,1171
13,train_agg,clientapp,train_loss,0.8412960590236158
13,eval_agg,clientapp,eval_loss,0.9612274763888286
13,eval_agg,clientapp,eval_acc,0.663968015992004
13,server_eval,serverapp,accuracy,0.6629
13,server_eval,serverapp,loss,0.98363906899585
13,server_eval,serverapp,poisoned_accuracy,0.08198121263877028
13,server_eval,serverapp,poisoned_loss,3.838158441546837
13,server_eval,serverapp,attack_success_rate,0.027332704995287466
13,server_eval,serverapp,poisoned_examples,1171
14,train_agg,clientapp,train_loss,0.7812085923164054
14,eval_agg,clientapp,eval_loss,0.9798026366324459
14,eval_agg,clientapp,eval_acc,0.6631684157921041
14,server_eval,serverapp,accuracy,0.6604
14,server_eval,serverapp,loss,1.0067194126829315
14,server_eval,serverapp,poisoned_accuracy,0.04184457728437233
14,server_eval,serverapp,poisoned_loss,4.0813761736774525
14,server_eval,serverapp,attack_success_rate,0.005655042412818096
14,server_eval,serverapp,poisoned_examples,1171
15,train_agg,clientapp,train_loss,0.740806861175773
15,eval_agg,clientapp,eval_loss,0.9544987212054563
15,eval_agg,clientapp,eval_acc,0.6928535732133934
15,server_eval,serverapp,accuracy,0.6789
15,server_eval,serverapp,loss,0.9886357595648947
15,server_eval,serverapp,poisoned_accuracy,0.06746370623398805
15,server_eval,serverapp,poisoned_loss,4.125827423432869
15,server_eval,serverapp,attack_success_rate,0.013195098963242224
15,server_eval,serverapp,poisoned_examples,1171
16,train_agg,clientapp,train_loss,0.6582514398632038
16,eval_agg,clientapp,eval_loss,0.8450269819352608
16,eval_agg,clientapp,eval_acc,0.7171414292853573
16,server_eval,serverapp,accuracy,0.7126
16,server_eval,serverapp,loss,0.8686175799068017
16,server_eval,serverapp,poisoned_accuracy,0.09393680614859094
16,server_eval,serverapp,poisoned_loss,4.840478209528936
16,server_eval,serverapp,attack_success_rate,0.02827521206409048
16,server_eval,serverapp,poisoned_examples,1171
17,train_agg,clientapp,train_loss,0.6041929292567798
17,eval_agg,clientapp,eval_loss,0.8173304804229601
17,eval_agg,clientapp,eval_acc,0.7251374312843578
17,server_eval,serverapp,accuracy,0.7217
17,server_eval,serverapp,loss,0.8449638244471972
17,server_eval,serverapp,poisoned_accuracy,0.08625106746370624
17,server_eval,serverapp,poisoned_loss,5.4503956720627444
17,server_eval,serverapp,attack_success_rate,0.020735155513666354
17,server_eval,serverapp,poisoned_examples,1171
18,train_agg,clientapp,train_loss,0.606783394317584
18,eval_agg,clientapp,eval_loss,0.8864767587195342
18,eval_agg,clientapp,eval_acc,0.7092453773113443
18,server_eval,serverapp,accuracy,0.7075
18,server_eval,serverapp,loss,0.9099734297281579
18,server_eval,serverapp,poisoned_accuracy,0.07771135781383433
18,server_eval,serverapp,poisoned_loss,4.25930494940454
18,server_eval,serverapp,attack_success_rate,0.016022620169651274
18,server_eval,serverapp,poisoned_examples,1171
19,train_agg,clientapp,train_loss,0.6076069904450367
19,eval_agg,clientapp,eval_loss,1.0008544116350173
19,eval_agg,clientapp,eval_acc,0.6905547226386806
19,server_eval,serverapp,accuracy,0.6893
19,server_eval,serverapp,loss,1.025935022136833
