round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.0997
0,server_eval_initial,serverapp,loss,2.302421086951147
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.3022003442583485
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9247772516719104
1,train_agg,clientapp,nonfinite_updates_filtered,0
1,train_agg,clientapp,flanders_filtered,0
1,train_agg,clientapp,flanders_kept,6
1,train_agg,clientapp,flanders_mean_score,0.0
1,eval_agg,clientapp,eval_loss,2.3110536578517396
1,eval_agg,clientapp,eval_acc,0.10154922538730633
1,server_eval,serverapp,accuracy,0.1013
1,server_eval,serverapp,loss,2.3106787174562866
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.2387854358663324
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.9433090984698687
2,train_agg,clientapp,nonfinite_updates_filtered,0
2,train_agg,clientapp,flanders_filtered,2
2,train_agg,clientapp,flanders_kept,4
2,train_agg,clientapp,flanders_mean_score,5.953030836280959e-06
2,eval_agg,clientapp,eval_loss,2.210086690610534
2,eval_agg,clientapp,eval_acc,0.14762618690654672
2,server_eval,serverapp,accuracy,0.1477
2,server_eval,serverapp,loss,2.20390866074381
2,server_eval,serverapp,poisoned_accuracy,0.5824081981212639
2,server_eval,serverapp,poisoned_loss,1.8270140329453806
2,server_eval,serverapp,attack_success_rate,0.5466540999057493
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.6376347401696467
3,train_agg,clientapp,nonfinite_updates_filtered,0
3,train_agg,clientapp,flanders_filtered,2
3,train_agg,clientapp,flanders_kept,4
3,train_agg,clientapp,flanders_mean_score,9.885281154754532e-06
3,eval_agg,clientapp,eval_loss,2.003980989182954
3,eval_agg,clientapp,eval_acc,0.19040479760119938
3,server_eval,serverapp,accuracy,0.1939
3,server_eval,serverapp,loss,1.9942473158051697
3,server_eval,serverapp,poisoned_accuracy,0.0
3,server_eval,serverapp,poisoned_loss,2.8033998721079576
3,server_eval,serverapp,attack_success_rate,0.0
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.5876589867481654
4,train_agg,clientapp,nonfinite_updates_filtered,0
4,train_agg,clientapp,flanders_filtered,2
4,train_agg,clientapp,flanders_kept,4
4,train_agg,clientapp,flanders_mean_score,0.013229168509402178
4,eval_agg,clientapp,eval_loss,1.913510856254915
4,eval_agg,clientapp,eval_acc,0.23268365817091455
4,server_eval,serverapp,accuracy,0.2373
4,server_eval,serverapp,loss,1.90524113329151
4,server_eval,serverapp,poisoned_accuracy,0.0
4,server_eval,serverapp,poisoned_loss,2.9924567116314686
4,server_eval,serverapp,attack_success_rate,0.0
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.500017522145605
5,train_agg,clientapp,nonfinite_updates_filtered,0
5,train_agg,clientapp,flanders_filtered,2
5,train_agg,clientapp,flanders_kept,4
5,train_agg,clientapp,flanders_mean_score,0.00897206608055549
5,eval_agg,clientapp,eval_loss,1.764620730682125
5,eval_agg,clientapp,eval_acc,0.3043478260869565
5,server_eval,serverapp,accuracy,0.3021
5,server_eval,serverapp,loss,1.7508275946484337
5,server_eval,serverapp,poisoned_accuracy,0.0
5,server_eval,serverapp,poisoned_loss,2.986724188142511
5,server_eval,serverapp,attack_success_rate,0.0
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.445030627470695
6,train_agg,clientapp,nonfinite_updates_filtered,0
6,train_agg,clientapp,flanders_filtered,2
6,train_agg,clientapp,flanders_kept,4
6,train_agg,clientapp,flanders_mean_score,0.007995464900361007
6,eval_agg,clientapp,eval_loss,1.653541258440471
6,eval_agg,clientapp,eval_acc,0.3263368315842079
6,server_eval,serverapp,accuracy,0.3302
6,server_eval,serverapp,loss,1.6453331965434401
6,server_eval,serverapp,poisoned_accuracy,0.2237403928266439
6,server_eval,serverapp,poisoned_loss,2.600623324322558
6,server_eval,serverapp,attack_success_rate,0.16588124410933083
6,server_eval,serverapp,poisoned_examples,1171
7,train_agg,clientapp,train_loss,1.3018082469668917
7,train_agg,clientapp,nonfinite_updates_filtered,0
7,train_agg,clientapp,flanders_filtered,2
7,train_agg,clientapp,flanders_kept,4
7,train_agg,clientapp,flanders_mean_score,0.07500192303256173
7,eval_agg,clientapp,eval_loss,1.6995753150597985
7,eval_agg,clientapp,eval_acc,0.35152423788105946
7,server_eval,serverapp,accuracy,0.3492
7,server_eval,serverapp,loss,1.7027729538422596
7,server_eval,serverapp,poisoned_accuracy,0.09479077711357814
7,server_eval,serverapp,poisoned_loss,2.913275834742415
7,server_eval,serverapp,attack_success_rate,0.057492931196983975
7,server_eval,serverapp,poisoned_examples,1171
8,train_agg,clientapp,train_loss,1.2415360480504214
8,train_agg,clientapp,nonfinite_updates_filtered,0
8,train_agg,clientapp,flanders_filtered,2
8,train_agg,clientapp,flanders_kept,4
8,train_agg,clientapp,flanders_mean_score,0.032582315002455335
8,eval_agg,clientapp,eval_loss,1.554751597641694
8,eval_agg,clientapp,eval_acc,0.39650174912543723
8,server_eval,serverapp,accuracy,0.3978
8,server_eval,serverapp,loss,1.5578747384155853
8,server_eval,serverapp,poisoned_accuracy,0.1520068317677199
8,server_eval,serverapp,poisoned_loss,2.4856768361937784
8,server_eval,serverapp,attack_success_rate,0.10179076343072573
8,server_eval,serverapp,poisoned_examples,1171
9,train_agg,clientapp,train_loss,1.2257214156220926
9,train_agg,clientapp,nonfinite_updates_filtered,0
9,train_agg,clientapp,flanders_filtered,2
9,train_agg,clientapp,flanders_kept,4
9,train_agg,clientapp,flanders_mean_score,0.010272491289969292
9,eval_agg,clientapp,eval_loss,1.3733071296874384
9,eval_agg,clientapp,eval_acc,0.45977011494252873
9,server_eval,serverapp,accuracy,0.4595
9,server_eval,serverapp,loss,1.3774784335607215
9,server_eval,serverapp,poisoned_accuracy,0.032450896669513236
9,server_eval,serverapp,poisoned_loss,3.0642132195115193
9,server_eval,serverapp,attack_success_rate,0.027332704995287466
9,server_eval,serverapp,poisoned_examples,1171
10,train_agg,clientapp,train_loss,1.1563454582887607
10,train_agg,clientapp,nonfinite_updates_filtered,0
10,train_agg,clientapp,flanders_filtered,2
10,train_agg,clientapp,flanders_kept,4
10,train_agg,clientapp,flanders_mean_score,0.05827485091428911
10,eval_agg,clientapp,eval_loss,1.3531394205537475
10,eval_agg,clientapp,eval_acc,0.47176411794102946
10,server_eval,serverapp,accuracy,0.4803
10,server_eval,serverapp,loss,1.3511158831511871
10,server_eval,serverapp,poisoned_accuracy,0.016225448334756618
10,server_eval,serverapp,poisoned_loss,3.423296555405901
10,server_eval,serverapp,attack_success_rate,0.006597549481621112
10,server_eval,serverapp,poisoned_examples,1171
11,train_agg,clientapp,train_loss,1.0805666607847635
11,train_agg,clientapp,nonfinite_updates_filtered,0
11,train_agg,clientapp,flanders_filtered,2
11,train_agg,clientapp,flanders_kept,4
11,train_agg,clientapp,flanders_mean_score,0.09383260346824225
11,eval_agg,clientapp,eval_loss,1.2239274973938277
11,eval_agg,clientapp,eval_acc,0.545127436281859
11,server_eval,serverapp,accuracy,0.5442
11,server_eval,serverapp,loss,1.2310486066190502
11,server_eval,serverapp,poisoned_accuracy,0.10418445772843724
11,server_eval,serverapp,poisoned_loss,3.5295941848005628
11,server_eval,serverapp,attack_success_rate,0.061262959472196045
11,server_eval,serverapp,poisoned_examples,1171
12,train_agg,clientapp,train_loss,1.029562310024533
12,train_agg,clientapp,nonfinite_updates_filtered,0
12,train_agg,clientapp,flanders_filtered,2
12,train_agg,clientapp,flanders_kept,4
12,train_agg,clientapp,flanders_mean_score,0.057036903629760945
12,eval_agg,clientapp,eval_loss,1.2468111132022144
12,eval_agg,clientapp,eval_acc,0.5622188905547226
12,server_eval,serverapp,accuracy,0.5597
12,server_eval,serverapp,loss,1.2527649462977541
12,server_eval,serverapp,poisoned_accuracy,0.1511528608027327
12,server_eval,serverapp,poisoned_loss,2.908253243395042
12,server_eval,serverapp,attack_success_rate,0.08671065032987747
12,server_eval,serverapp,poisoned_examples,1171
13,train_agg,clientapp,train_loss,1.0016565600150038
13,train_agg,clientapp,nonfinite_updates_filtered,0
13,train_agg,clientapp,flanders_filtered,2
13,train_agg,clientapp,flanders_kept,4
13,train_agg,clientapp,flanders_mean_score,0.12950186072666797
13,eval_agg,clientapp,eval_loss,1.131062419868461
13,eval_agg,clientapp,eval_acc,0.5963018490754622
13,server_eval,serverapp,accuracy,0.5887
13,server_eval,serverapp,loss,1.1444459429270104
13,server_eval,serverapp,poisoned_accuracy,0.04269854824935952
13,server_eval,serverapp,poisoned_loss,3.1470042437594943
13,server_eval,serverapp,attack_success_rate,0.019792648444863337
13,server_eval,serverapp,poisoned_examples,1171
14,train_agg,clientapp,train_loss,0.9553563743526993
14,train_agg,clientapp,nonfinite_updates_filtered,0
14,train_agg,clientapp,flanders_filtered,2
14,train_agg,clientapp,flanders_kept,4
14,train_agg,clientapp,flanders_mean_score,0.002513987074586261
14,eval_agg,clientapp,eval_loss,1.2514022699397571
14,eval_agg,clientapp,eval_acc,0.5522238880559721
14,server_eval,serverapp,accuracy,0.5532
14,server_eval,serverapp,loss,1.2613691076447693
14,server_eval,serverapp,poisoned_accuracy,0.032450896669513236
14,server_eval,serverapp,poisoned_loss,4.063154547973945
14,server_eval,serverapp,attack_success_rate,0.008482563619227144
14,server_eval,serverapp,poisoned_examples,1171
15,train_agg,clientapp,train_loss,0.841368937807532
15,train_agg,clientapp,nonfinite_updates_filtered,0
15,train_agg,clientapp,flanders_filtered,2
15,train_agg,clientapp,flanders_kept,4
15,train_agg,clientapp,flanders_mean_score,0.06973500062395335
15,eval_agg,clientapp,eval_loss,1.0381792044472642
15,eval_agg,clientapp,eval_acc,0.6365817091454273
15,server_eval,serverapp,accuracy,0.6294
15,server_eval,serverapp,loss,1.0526394180104703
15,server_eval,serverapp,poisoned_accuracy,0.05123825789923143
15,server_eval,serverapp,poisoned_loss,5.071317597803756
15,server_eval,serverapp,attack_success_rate,0.01413760603204524
15,server_eval,serverapp,poisoned_examples,1171
16,train_agg,clientapp,train_loss,0.7816076641081886
16,train_agg,clientapp,nonfinite_updates_filtered,0
16,train_agg,clientapp,flanders_filtered,2
16,train_agg,clientapp,flanders_kept,4
16,train_agg,clientapp,flanders_mean_score,0.16701963429027025
16,eval_agg,clientapp,eval_loss,1.0362950277635679
16,eval_agg,clientapp,eval_acc,0.649375312343828
16,server_eval,serverapp,accuracy,0.6485
16,server_eval,serverapp,loss,1.0438702491265308
16,server_eval,serverapp,poisoned_accuracy,0.12382578992314261
16,server_eval,serverapp,poisoned_loss,3.568939704349365
16,server_eval,serverapp,attack_success_rate,0.05372290292177191
16,server_eval,serverapp,poisoned_examples,1171
17,train_agg,clientapp,train_loss,0.7695505472902519
17,train_agg,clientapp,nonfinite_updates_filtered,0
17,train_agg,clientapp,flanders_filtered,2
17,train_agg,clientapp,flanders_kept,4
17,train_agg,clientapp,flanders_mean_score,0.25311357013596275
17,eval_agg,clientapp,eval_loss,0.9176396624792376
17,eval_agg,clientapp,eval_acc,0.6841579210394804
17,server_eval,serverapp,accuracy,0.6795
17,server_eval,serverapp,loss,0.9343222749384144
17,server_eval,serverapp,poisoned_accuracy,0.07771135781383433
17,server_eval,serverapp,poisoned_loss,4.718310330486216
17,server_eval,serverapp,attack_success_rate,0.019792648444863337
17,server_eval,serverapp,poisoned_examples,1171
18,train_agg,clientapp,train_loss,0.7355536534112967
18,train_agg,clientapp,nonfinite_updates_filtered,0
18,train_agg,clientapp,flanders_filtered,2
18,train_agg,clientapp,flanders_kept,4
18,train_agg,clientapp,flanders_mean_score,0.07098787422237025
18,eval_agg,clientapp,eval_loss,0.9249258037778532
18,eval_agg,clientapp,eval_acc,0.6846576711644178
18,server_eval,serverapp,accuracy,0.6804
18,server_eval,serverapp,loss,0.9451495642903485
18,server_eval,serverapp,poisoned_accuracy,0.09393680614859094
18,server_eval,serverapp,poisoned_loss,3.9004675484843787
18,server_eval,serverapp,attack_success_rate,0.03110273327049953
18,server_eval,serverapp,poisoned_examples,1171
19,train_agg,clientapp,train_loss,0.7494809253754711
19,train_agg,clientapp,nonfinite_updates_filtered,0
19,train_agg,clientapp,flanders_filtered,2
19,train_agg,clientapp,flanders_kept,4
19,train_agg,clientapp,flanders_mean_score,0.03188617166897128
19,eval_agg,clientapp,eval_loss,1.079980509415885
19,eval_agg,clientapp,eval_acc,0.6616691654172915
19,server_eval,serverapp,accuracy,0.6466
19,server_eval,serverapp,loss,1.098464305642285
19,server_eval,serverapp,poisoned_accuracy,0.07429547395388557
19,server_eval,serverapp,poisoned_loss,3.1818235327706796
19,server_eval,serverapp,attack_success_rate,0.020735155513666354
19,server_eval,serverapp,poisoned_examples,1171
20,train_agg,clientapp,train_loss,0.6032441731229516
20,train_agg,clientapp,nonfinite_updates_filtered,0
20,train_agg,clientapp,flanders_filtered,2
20,train_agg,clientapp,flanders_kept,4
20,train_agg,clientapp,flanders_mean_score,0.03482518727459271
20,eval_agg,clientapp,eval_loss,0.9098773357815619
20,eval_agg,clientapp,eval_acc,0.6965517241379311
20,server_eval,serverapp,accuracy,0.7
20,server_eval,serverapp,loss,0.9168653156183943
20,server_eval,serverapp,poisoned_accuracy,0.089666951323655
20,server_eval,serverapp,poisoned_loss,3.9053264588601158
20,server_eval,serverapp,attack_success_rate,0.02827521206409048
20,server_eval,serverapp,poisoned_examples,1171
21,train_agg,clientapp,train_loss,0.5660763757992475
21,train_agg,clientapp,nonfinite_updates_filtered,0
21,train_agg,clientapp,flanders_filtered,2
21,train_agg,clientapp,flanders_kept,4
21,train_agg,clientapp,flanders_mean_score,0.2099408414600852
21,eval_agg,clientapp,eval_loss,0.8932725018064089
21,eval_agg,clientapp,eval_acc,0.7041479260369815
21,server_eval,serverapp,accuracy,0.6996
21,server_eval,serverapp,loss,0.9173275828361511
21,server_eval,serverapp,poisoned_accuracy,0.11443210930828351
21,server_eval,serverapp,poisoned_loss,4.014686376594459
21,server_eval,serverapp,attack_success_rate,0.04995287464655985
21,server_eval,serverapp,poisoned_examples,1171
22,train_agg,clientapp,train_loss,0.6278664210794782
22,train_agg,clientapp,nonfinite_updates_filtered,0
22,train_agg,clientapp,flanders_filtered,2
22,train_agg,clientapp,flanders_kept,4
22,train_agg,clientapp,flanders_mean_score,0.04213415499348882
22,eval_agg,clientapp,eval_loss,0.8719763621492483
22,eval_agg,clientapp,eval_acc,0.7143428285857072
22,server_eval,serverapp,accuracy,0.7102
22,server_eval,serverapp,loss,0.8878600687920293
22,server_eval,serverapp,poisoned_accuracy,0.22801024765157984
22,server_eval,serverapp,poisoned_loss,3.1781957776601453
22,server_eval,serverapp,attack_success_rate,0.16870876531573986
22,server_eval,serverapp,poisoned_examples,1171
23,train_agg,clientapp,train_loss,0.6128292761821157
23,train_agg,clientapp,nonfinite_updates_filtered,0
23,train_agg,clientapp,flanders_filtered,2
23,train_agg,clientapp,flanders_kept,4
23,train_agg,clientapp,flanders_mean_score,0.06522155900216056
23,eval_agg,clientapp,eval_loss,0.8886434340934263
23,eval_agg,clientapp,eval_acc,0.7140429785107445
23,server_eval,serverapp,accuracy,0.7105
23,server_eval,serverapp,loss,0.9168282536011708
23,server_eval,serverapp,poisoned_accuracy,0.5439795046968403
23,server_eval,serverapp,poisoned_loss,1.913466341418145
23,server_eval,serverapp,attack_success_rate,0.5164938737040528
23,server_eval,serverapp,poisoned_examples,1171
24,train_agg,clientapp,train_loss,0.5534895591915339
24,train_agg,clientapp,nonfinite_updates_filtered,0
24,train_agg,clientapp,flanders_filtered,2
24,train_agg,clientapp,flanders_kept,4
24,train_agg,clientapp,flanders_mean_score,0.26244684731298423
24,eval_agg,clientapp,eval_loss,0.8315082318298985
24,eval_agg,clientapp,eval_acc,0.7314342828585707
24,server_eval,serverapp,accuracy,0.729
24,server_eval,serverapp,loss,0.8451423622384856
24,server_eval,serverapp,poisoned_accuracy,0.3783091374893254
24,server_eval,serverapp,poisoned_loss,3.1991068015843758
24,server_eval,serverapp,attack_success_rate,0.32704995287464655
24,server_eval,serverapp,poisoned_examples,1171
25,train_agg,clientapp,train_loss,0.4849780135617671
