round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.0974
0,server_eval_initial,serverapp,loss,2.3028452154956285
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.29614530314145
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9386471625435722
1,eval_agg,clientapp,eval_loss,2.3101605027408376
1,eval_agg,clientapp,eval_acc,0.10144927536231885
1,server_eval,serverapp,accuracy,0.1
1,server_eval,serverapp,loss,2.311205951473381
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.1868290591708215
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.9268943765172575
2,eval_agg,clientapp,eval_loss,2.249974535275407
2,eval_agg,clientapp,eval_acc,0.144127936031984
2,server_eval,serverapp,accuracy,0.1454
2,server_eval,serverapp,loss,2.2484969338284264
2,server_eval,serverapp,poisoned_accuracy,0.2681468830059778
2,server_eval,serverapp,poisoned_loss,2.2618934977879186
2,server_eval,serverapp,attack_success_rate,0.23091423185673893
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.6996522626904018
3,eval_agg,clientapp,eval_loss,1.97621850884469
3,eval_agg,clientapp,eval_acc,0.17311344327836084
3,server_eval,serverapp,accuracy,0.173
3,server_eval,serverapp,loss,1.9725204057331327
3,server_eval,serverapp,poisoned_accuracy,0.4466268146883006
3,server_eval,serverapp,poisoned_loss,2.260894159798333
3,server_eval,serverapp,attack_success_rate,0.40150801131008484
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.593480917318053
4,eval_agg,clientapp,eval_loss,1.8923281736447461
4,eval_agg,clientapp,eval_acc,0.23098450774612694
4,server_eval,serverapp,accuracy,0.2347
4,server_eval,serverapp,loss,1.8914667413204531
4,server_eval,serverapp,poisoned_accuracy,0.11955593509820667
4,server_eval,serverapp,poisoned_loss,2.5686791882771494
4,server_eval,serverapp,attack_success_rate,0.09707822808671066
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.4749875910008263
5,eval_agg,clientapp,eval_loss,1.7146361145088578
5,eval_agg,clientapp,eval_acc,0.2894552723638181
5,server_eval,serverapp,accuracy,0.2985
5,server_eval,serverapp,loss,1.7134498055977156
5,server_eval,serverapp,poisoned_accuracy,0.16567036720751493
5,server_eval,serverapp,poisoned_loss,2.6790338482844533
5,server_eval,serverapp,attack_success_rate,0.11215834118755891
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.438895122317959
6,eval_agg,clientapp,eval_loss,1.675867731544416
6,eval_agg,clientapp,eval_acc,0.2942528735632184
6,server_eval,serverapp,accuracy,0.3008
6,server_eval,serverapp,loss,1.6774693078632597
6,server_eval,serverapp,poisoned_accuracy,0.17933390264731
6,server_eval,serverapp,poisoned_loss,2.5927117841046248
6,server_eval,serverapp,attack_success_rate,0.13006597549481622
6,server_eval,serverapp,poisoned_examples,1171
7,train_agg,clientapp,train_loss,1.359666215708439
7,eval_agg,clientapp,eval_loss,1.5473040933633662
7,eval_agg,clientapp,eval_acc,0.3642178910544727
7,server_eval,serverapp,accuracy,0.3719
7,server_eval,serverapp,loss,1.5453324257572996
7,server_eval,serverapp,poisoned_accuracy,0.037574722459436376
7,server_eval,serverapp,poisoned_loss,3.082644495161856
7,server_eval,serverapp,attack_success_rate,0.021677662582469368
7,server_eval,serverapp,poisoned_examples,1171
8,train_agg,clientapp,train_loss,1.226026879983051
8,eval_agg,clientapp,eval_loss,1.4247030820984021
8,eval_agg,clientapp,eval_acc,0.4284857571214393
8,server_eval,serverapp,accuracy,0.4292
8,server_eval,serverapp,loss,1.436895883536037
8,server_eval,serverapp,poisoned_accuracy,0.13236549957301452
8,server_eval,serverapp,poisoned_loss,2.8163419707426143
8,server_eval,serverapp,attack_success_rate,0.08482563619227144
8,server_eval,serverapp,poisoned_examples,1171
9,train_agg,clientapp,train_loss,1.110711252003312
9,eval_agg,clientapp,eval_loss,1.3419692385381274
9,eval_agg,clientapp,eval_acc,0.4749625187406297
9,server_eval,serverapp,accuracy,0.4695
9,server_eval,serverapp,loss,1.3555520848382878
9,server_eval,serverapp,poisoned_accuracy,0.0623398804440649
9,server_eval,serverapp,poisoned_loss,3.4333258833669373
9,server_eval,serverapp,attack_success_rate,0.03204524033930255
9,server_eval,serverapp,poisoned_examples,1171
10,train_agg,clientapp,train_loss,1.135746251201507
10,eval_agg,clientapp,eval_loss,1.3215196692553624
10,eval_agg,clientapp,eval_acc,0.49245377311344324
10,server_eval,serverapp,accuracy,0.4921
10,server_eval,serverapp,loss,1.3314118400404724
10,server_eval,serverapp,poisoned_accuracy,0.04013663535439795
10,server_eval,serverapp,poisoned_loss,3.325243710453545
10,server_eval,serverapp,attack_success_rate,0.016965127238454288
10,server_eval,serverapp,poisoned_examples,1171
11,train_agg,clientapp,train_loss,1.117148823359652
11,eval_agg,clientapp,eval_loss,1.2612711765747067
11,eval_agg,clientapp,eval_acc,0.5523238380809595
11,server_eval,serverapp,accuracy,0.5473
11,server_eval,serverapp,loss,1.2710847507549237
11,server_eval,serverapp,poisoned_accuracy,0.11187019641332195
11,server_eval,serverapp,poisoned_loss,2.884786958779971
11,server_eval,serverapp,attack_success_rate,0.060320452403393024
11,server_eval,serverapp,poisoned_examples,1171
12,train_agg,clientapp,train_loss,1.040937060599044
12,eval_agg,clientapp,eval_loss,1.1635653869807523
12,eval_agg,clientapp,eval_acc,0.5786106946526737
12,server_eval,serverapp,accuracy,0.577
12,server_eval,serverapp,loss,1.1823690020585362
12,server_eval,serverapp,poisoned_accuracy,0.05209222886421862
12,server_eval,serverapp,poisoned_loss,3.996932027077288
12,server_eval,serverapp,attack_success_rate,0.016965127238454288
12,server_eval,serverapp,poisoned_examples,1171
13,train_agg,clientapp,train_loss,0.983690922626767
13,eval_agg,clientapp,eval_loss,1.142875621471361
13,eval_agg,clientapp,eval_acc,0.5931034482758621
13,server_eval,serverapp,accuracy,0.591
13,server_eval,serverapp,loss,1.1526657169378256
13,server_eval,serverapp,poisoned_accuracy,0.05721605465414176
13,server_eval,serverapp,poisoned_loss,4.166996030905224
13,server_eval,serverapp,attack_success_rate,0.017907634307257305
13,server_eval,serverapp,poisoned_examples,1171
14,train_agg,clientapp,train_loss,0.8395881359227887
14,eval_agg,clientapp,eval_loss,1.045580028676343
14,eval_agg,clientapp,eval_acc,0.6245877061469265
14,server_eval,serverapp,accuracy,0.6212
14,server_eval,serverapp,loss,1.062160866924479
14,server_eval,serverapp,poisoned_accuracy,0.08539709649871904
14,server_eval,serverapp,poisoned_loss,3.8038334581813276
14,server_eval,serverapp,attack_success_rate,0.033930254476908575
14,server_eval,serverapp,poisoned_examples,1171
15,train_agg,clientapp,train_loss,0.8530740453912603
15,eval_agg,clientapp,eval_loss,0.9652892736055362
15,eval_agg,clientapp,eval_acc,0.6590704647676163
15,server_eval,serverapp,accuracy,0.6534
15,server_eval,serverapp,loss,0.9827923020230064
15,server_eval,serverapp,poisoned_accuracy,0.06490179333902647
15,server_eval,serverapp,poisoned_loss,4.458598130386574
15,server_eval,serverapp,attack_success_rate,0.019792648444863337
15,server_eval,serverapp,poisoned_examples,1171
16,train_agg,clientapp,train_loss,0.7960099387728603
16,eval_agg,clientapp,eval_loss,0.9676350256806369
16,eval_agg,clientapp,eval_acc,0.655672163918041
16,server_eval,serverapp,accuracy,0.6552
16,server_eval,serverapp,loss,0.9891570927221564
16,server_eval,serverapp,poisoned_accuracy,0.06746370623398805
16,server_eval,serverapp,poisoned_loss,4.7110164499405
16,server_eval,serverapp,attack_success_rate,0.016965127238454288
16,server_eval,serverapp,poisoned_examples,1171
17,train_agg,clientapp,train_loss,0.7129615683035622
17,eval_agg,clientapp,eval_loss,0.9608016989304735
17,eval_agg,clientapp,eval_acc,0.6660669665167416
17,server_eval,serverapp,accuracy,0.6579
17,server_eval,serverapp,loss,0.994736070119882
17,server_eval,serverapp,poisoned_accuracy,0.05721605465414176
17,server_eval,serverapp,poisoned_loss,4.8609062929014994
17,server_eval,serverapp,attack_success_rate,0.01413760603204524
17,server_eval,serverapp,poisoned_examples,1171
18,train_agg,clientapp,train_loss,0.7069182135808779
18,eval_agg,clientapp,eval_loss,0.8882063618091809
18,eval_agg,clientapp,eval_acc,0.6890554722638681
18,server_eval,serverapp,accuracy,0.69
18,server_eval,serverapp,loss,0.9100440627411951
18,server_eval,serverapp,poisoned_accuracy,0.08539709649871904
18,server_eval,serverapp,poisoned_loss,4.198399976621216
18,server_eval,serverapp,attack_success_rate,0.02544769085768143
18,server_eval,serverapp,poisoned_examples,1171
19,train_agg,clientapp,train_loss,0.6917998025086166
19,eval_agg,clientapp,eval_loss,0.8763075160865753
19,eval_agg,clientapp,eval_acc,0.6988505747126437
19,server_eval,serverapp,accuracy,0.6972
19,server_eval,serverapp,loss,0.8956558727010896
19,server_eval,serverapp,poisoned_accuracy,0.0888129803586678
19,server_eval,serverapp,poisoned_loss,4.52431879116876
19,server_eval,serverapp,attack_success_rate,0.02544769085768143
19,server_eval,serverapp,poisoned_examples,1171
20,train_agg,clientapp,train_loss,0.6770283943645923
20,eval_agg,clientapp,eval_loss,0.8620600538126323
20,eval_agg,clientapp,eval_acc,0.7048475762118941
20,server_eval,serverapp,accuracy,0.7037
20,server_eval,serverapp,loss,0.8867197240455241
20,server_eval,serverapp,poisoned_accuracy,0.06148590947907771
20,server_eval,serverapp,poisoned_loss,4.54181462490691
20,server_eval,serverapp,attack_success_rate,0.012252591894439209
20,server_eval,serverapp,poisoned_examples,1171
21,train_agg,clientapp,train_loss,0.5697309546278189
21,eval_agg,clientapp,eval_loss,0.8539990834132657
21,eval_agg,clientapp,eval_acc,0.7129435282358819
21,server_eval,serverapp,accuracy,0.7088
21,server_eval,serverapp,loss,0.8879684504074387
21,server_eval,serverapp,poisoned_accuracy,0.08198121263877028
21,server_eval,serverapp,poisoned_loss,4.92403488908437
21,server_eval,serverapp,attack_success_rate,0.021677662582469368
21,server_eval,serverapp,poisoned_examples,1171
22,train_agg,clientapp,train_loss,0.5777803122437968
22,eval_agg,clientapp,eval_loss,0.8375219258163078
22,eval_agg,clientapp,eval_acc,0.7172413793103448
22,server_eval,serverapp,accuracy,0.7187
22,server_eval,serverapp,loss,0.862371905695034
22,server_eval,serverapp,poisoned_accuracy,0.08283518360375747
22,server_eval,serverapp,poisoned_loss,5.031474124662496
22,server_eval,serverapp,attack_success_rate,0.0235626767200754
22,server_eval,serverapp,poisoned_examples,1171
23,train_agg,clientapp,train_loss,0.5866141350004781
23,eval_agg,clientapp,eval_loss,0.8259458742501891
23,eval_agg,clientapp,eval_acc,0.728935532233883
23,server_eval,serverapp,accuracy,0.7263
23,server_eval,serverapp,loss,0.8441137905362286
23,server_eval,serverapp,poisoned_accuracy,0.08539709649871904
23,server_eval,serverapp,poisoned_loss,4.3126527919003745
23,server_eval,serverapp,attack_success_rate,0.021677662582469368
23,server_eval,serverapp,poisoned_examples,1171
24,train_agg,clientapp,train_loss,0.565160971966258
24,eval_agg,clientapp,eval_loss,0.8475680734482279
24,eval_agg,clientapp,eval_acc,0.7231384307846077
24,server_eval,serverapp,accuracy,0.725
24,server_eval,serverapp,loss,0.8647766090646575
24,server_eval,serverapp,poisoned_accuracy,0.09991460290350128
24,server_eval,serverapp,poisoned_loss,4.381424815302522
24,server_eval,serverapp,attack_success_rate,0.034872761545711596
24,server_eval,serverapp,poisoned_examples,1171
25,train_agg,clientapp,train_loss,0.4747191849923969
25,eval_agg,clientapp,eval_loss,0.8069800223413862
25,eval_agg,clientapp,eval_acc,0.7424287856071963
25,server_eval,serverapp,accuracy,0.7402
25,server_eval,serverapp,loss,0.8375468752052211
25,server_eval,serverapp,poisoned_accuracy,0.10845431255337319
25,server_eval,serverapp,poisoned_loss,5.03979205515118
25,server_eval,serverapp,attack_success_rate,0.03864278982092366
25,server_eval,serverapp,poisoned_examples,1171
26,train_agg,clientapp,train_loss,0.5161974360475392
26,eval_agg,clientapp,eval_loss,0.8251918769079116
26,eval_agg,clientapp,eval_acc,0.7311344327836083
26,server_eval,serverapp,accuracy,0.7347
26,server_eval,serverapp,loss,0.8444343646870384
26,server_eval,serverapp,poisoned_accuracy,0.18104184457728437
26,server_eval,serverapp,poisoned_loss,4.269539293522106
26,server_eval,serverapp,attack_success_rate,0.1234684260131951
26,server_eval,serverapp,poisoned_examples,1171
27,train_agg,clientapp,train_loss,0.4379490415773708
27,eval_agg,clientapp,eval_loss,0.8160996201034322
27,eval_agg,clientapp,eval_acc,0.7425287356321839
27,server_eval,serverapp,accuracy,0.7434
27,server_eval,serverapp,loss,0.8545168977749499
27,server_eval,serverapp,poisoned_accuracy,0.18104184457728437
27,server_eval,serverapp,poisoned_loss,4.830296301006966
27,server_eval,serverapp,attack_success_rate,0.1234684260131951
27,server_eval,serverapp,poisoned_examples,1171
28,train_agg,clientapp,train_loss,0.409503758001606
28,eval_agg,clientapp,eval_loss,0.8030787434620217
28,eval_agg,clientapp,eval_acc,0.7490254872563717
28,server_eval,serverapp,accuracy,0.7462
28,server_eval,serverapp,loss,0.8361764670927313
28,server_eval,serverapp,poisoned_accuracy,0.22117847993168233
28,server_eval,serverapp,poisoned_loss,4.686170425708227
28,server_eval,serverapp,attack_success_rate,0.16116870876531575
28,server_eval,serverapp,poisoned_examples,1171
29,train_agg,clientapp,train_loss,0.3874368810875862
29,eval_agg,clientapp,eval_loss,0.7960557443021317
29,eval_agg,clientapp,eval_acc,0.7495252373813094
29,server_eval,serverapp,accuracy,0.7461
29,server_eval,serverapp,loss,0.8234550647343262
29,server_eval,serverapp,poisoned_accuracy,0.20666097352690008
29,server_eval,serverapp,poisoned_loss,4.703980028476601
29,server_eval,serverapp,attack_success_rate,0.14326107445805844
29,server_eval,serverapp,poisoned_examples,1171
30,train_agg,clientapp,train_loss,0.37828717359392405
30,eval_agg,clientapp,eval_loss,0.7920176776658916
30,eval_agg,clientapp,eval_acc,0.7521239380309847
30,server_eval,serverapp,accuracy,0.7497
30,server_eval,serverapp,loss,0.8265664275688461
30,server_eval,serverapp,poisoned_accuracy,0.2561912894961571
30,server_eval,serverapp,poisoned_loss,4.407040647723347
30,server_eval,serverapp,attack_success_rate,0.19227144203581528
30,server_eval,serverapp,poisoned_examples,1171
31,train_agg,clientapp,train_loss,0.39054806143477144
31,eval_agg,clientapp,eval_loss,0.7752615161798275
31,eval_agg,clientapp,eval_acc,0.7570214892553723
31,server_eval,serverapp,accuracy,0.7516
31,server_eval,serverapp,loss,0.8112642500973954
31,server_eval,serverapp,poisoned_accuracy,0.2604611443210931
31,server_eval,serverapp,poisoned_loss,4.489567748915936
31,server_eval,serverapp,attack_success_rate,0.20263901979264845
31,server_eval,serverapp,poisoned_examples,1171
32,train_agg,clientapp,train_loss,0.3470549117997846
32,eval_agg,clientapp,eval_loss,0.8327537522197099
32,eval_agg,clientapp,eval_acc,0.7495252373813094
32,server_eval,serverapp,accuracy,0.7471
32,server_eval,serverapp,loss,0.8707457886466498
32,server_eval,serverapp,poisoned_accuracy,0.43381725021349277
32,server_eval,serverapp,poisoned_loss,3.343861089823696
32,server_eval,serverapp,attack_success_rate,0.38737040527803956
32,server_eval,serverapp,poisoned_examples,1171
33,train_agg,clientapp,train_loss,0.3033819533809239
33,eval_agg,clientapp,eval_loss,0.8680466525006766
33,eval_agg,clientapp,eval_acc,0.751224387806097
33,server_eval,serverapp,accuracy,0.7458
33,server_eval,serverapp,loss,0.9132436189470412
33,server_eval,serverapp,poisoned_accuracy,0.5277540563620837
33,server_eval,serverapp,poisoned_loss,2.7775538861497053
33,server_eval,serverapp,attack_success_rate,0.4882186616399623
33,server_eval,serverapp,poisoned_examples,1171
34,train_agg,clientapp,train_loss,0.3380063308385628
34,eval_agg,clientapp,eval_loss,0.8611728958027973
34,eval_agg,clientapp,eval_acc,0.7496251874062969
34,server_eval,serverapp,accuracy,0.7475
34,server_eval,serverapp,loss,0.8961583579642863
34,server_eval,serverapp,poisoned_accuracy,0.5234842015371477
34,server_eval,serverapp,poisoned_loss,2.8983804246078284
34,server_eval,serverapp,attack_success_rate,0.49198868991517436
34,server_eval,serverapp,poisoned_examples,1171
35,train_agg,clientapp,train_loss,0.33150783059215905
35,eval_agg,clientapp,eval_loss,0.8210394738571287
35,eval_agg,clientapp,eval_acc,0.7574212893553223
35,server_eval,serverapp,accuracy,0.7533
35,server_eval,serverapp,loss,0.8419507210013233
35,server_eval,serverapp,poisoned_accuracy,0.5866780529461998
35,server_eval,serverapp,poisoned_loss,2.354041198957282
35,server_eval,serverapp,attack_success_rate,0.5523091423185674
35,server_eval,serverapp,poisoned_examples,1171
36,train_agg,clientapp,train_loss,0.2711876667179158
36,eval_agg,clientapp,eval_loss,0.8776243620654188
36,eval_agg,clientapp,eval_acc,0.7571214392803599
36,server_eval,serverapp,accuracy,0.7534
36,server_eval,serverapp,loss,0.919556979137131
36,server_eval,serverapp,poisoned_accuracy,0.6122971818958155
36,server_eval,serverapp,poisoned_loss,2.393801407412929
36,server_eval,serverapp,attack_success_rate,0.5796418473138548
36,server_eval,serverapp,poisoned_examples,1171
37,train_agg,clientapp,train_loss,0.25622302822902865
37,eval_agg,clientapp,eval_loss,0.8406191880032857
37,eval_agg,clientapp,eval_acc,0.7592203898050975
37,server_eval,serverapp,accuracy,0.7541
37,server_eval,serverapp,loss,0.8809763494926163
37,server_eval,serverapp,poisoned_accuracy,0.5977796754910333
37,server_eval,serverapp,poisoned_loss,2.528792060765316
37,server_eval,serverapp,attack_success_rate,0.5626767200754006
37,server_eval,serverapp,poisoned_examples,1171
38,train_agg,clientapp,train_loss,0.2530216271336395
38,eval_agg,clientapp,eval_loss,0.8984696872825839
38,eval_agg,clientapp,eval_acc,0.7560219890054972
38,server_eval,serverapp,accuracy,0.7513
38,server_eval,serverapp,loss,0.9616799935509887
38,server_eval,serverapp,poisoned_accuracy,0.61400512382579
38,server_eval,serverapp,poisoned_loss,2.4613719707264234
38,server_eval,serverapp,attack_success_rate,0.5786993402450519
38,server_eval,serverapp,poisoned_examples,1171
39,train_agg,clientapp,train_loss,0.25152812306324224
39,eval_agg,clientapp,eval_loss,0.8359144283236956
39,eval_agg,clientapp,eval_acc,0.767816091954023
39,server_eval,serverapp,accuracy,0.7624
